,0
1286,-1
1287,3
1288,4
1289,4
1290,3
1291,4
1292,3
1293,4
1294,2
1295,2
1296,4
1297,3
1298,3
1299,3
1300,-1
1301,4
1302,-1
1303,-1
1304,3
1305,3
1306,4
1307,-1
1308,-1
1309,4
1310,5
1311,5
1312,-1
1313,1
1314,-1
1315,-1
1316,-1
1317,-1
1318,5
1319,-1
1320,-1
1321,-1
1322,4
1323,-1
1324,-1
1325,5
1326,-1
1327,-1
1328,-1
1329,-1
1330,4
1331,3
1332,4
1333,5
1334,3
1335,-1
1336,4
1337,-1
1338,5
1339,3
1340,-1
1341,4
1342,4
1343,4
1344,4
1345,-1
1346,4
1347,-1
1348,-1
1349,4
1350,4
1351,5
1352,5
1353,1
1354,3
1355,2
1356,1
1357,-1
1358,4
1359,4
1360,4
1361,2
1362,3
1363,-1
1364,1
1365,-1
1366,4
1367,4
1368,3
1369,3
1370,1
1371,-1
1372,3
1373,3
1374,-1
1375,4
1376,-1
1377,-1
1378,-1
1379,-1
1380,4
1381,2
1382,5
1383,-1
1384,-1
1385,-1
1386,3
1387,4
1388,3
1389,-1
1390,-1
1391,1
1392,-1
1393,-1
1394,4
1395,4
1396,-1
1397,-1
1398,-1
1399,2
1400,5
1401,3
